index,Identificativo|collection_key_yes|status_private,Titolo|status_public,Tipologia|status_public,special_document,special_attachments,Lavori correlati|relationship,Altezza|numeric|status_public,Larghezza|numeric|status_public,Unità di misura|status_public,Data di creazione|date|status_public,Soggetto|status_public,Committente|status_public,Fotografo|status_public,Designer|status_public,Copy|status_public,Numero di inventario|text|status_public,Contenuti|status_public,Note|status_public,Tecnica|status_public,Responsabile dell'acquisizione|status_public,Responsabile del processamento|status_public,Identificativo della foto|status_private,Identificativo dell'originale|status_private,Identificativo dell'esemplare|status_private,Data di acquisizione|date|status_public,Data di ultima modifica|date|status_private,Data di ultima metadatazione|date|status_private,Software di processamento|status_public,Creatore dello strumento di acqusizione|status_public,Strumento di acquisizione|status_public,Risoluzione (larghezza)|status_public,Risoluzione (altezza)|status_public,Unità di risoluzione|status_public,Larghezza dell'immagine|numeric|status_public,Altezza dell'immagine|numeric|status_public,Formato|status_public,Tempo di esposizione|status_public,Apertura|status_public,ISO|status_public,Fuoco|status_public,Licenza|status_public,Parametri|status_private,Cronologia|status_private
1,1_BNS3560,Carnaval d'Aoste,Manifesto,file:manifesti/1_BNS3560.jpg,"metadata/0      1_BNS3560
1      2_BNS4482
2      3_BNS4472
3      4_BNS3567
4      5_BNS4478
5      6_BNS3571
6      7_BNS4476
7      8_BNS3575
8      9_BNS3577
9     10_BNS3579
10    11_BNS3581
11    12_BNS3583
12    13_BNS3589
13    14_BNS3587
14    15_BNS4482
15    16_BNS3591
16    17_BNS3593
17    18_BNS3595
18    19_BNS3597
Name: id, dtype: object_imp.xmp; metadata/0      1_BNS3560
1      2_BNS4482
2      3_BNS4472
3      4_BNS3567
4      5_BNS4478
5      6_BNS3571
6      7_BNS4476
7      8_BNS3575
8      9_BNS3577
9     10_BNS3579
10    11_BNS3581
11    12_BNS3583
12    13_BNS3589
13    14_BNS3587
14    15_BNS4482
15    16_BNS3591
16    17_BNS3593
17    18_BNS3595
18    19_BNS3597
Name: id, dtype: object_proc.xmp",,70.0,50.0,cm,1985,colori,"Assessorato al Turismo, Regione Valle d'Aosta",,,,,Il punto serigrafico - Leni (TO),,,"Ravasio, Melania","Ravasio, Melania",xmp.did:5f988faf-480d-4d46-8a67-340c0f1d53bb,8E298A350690D5A868363CE1DA52AF0A,xmp.iid:5f988faf-480d-4d46-8a67-340c0f1d53bb,2025-11-03T12:12:38,2025-11-25T14:30:12+01:00,2025-11-25T14:30:12+01:00,Adobe Photoshop Camera Raw 17.5.1 (Windows),NIKON CORPORATION,NIKON D800E,300/1,300/1,2,4210,5884,image/tiff,6/10,28/10,100,240/10,https://creativecommons.org/licenses/by-nc-sa/4.0/,"{""serial_number"": ""6019424"", ""lens_info"": ""140/10"", ""lens"": ""14.0-24.0 mm f/2.8"", ""lens_id"": ""146"", ""image_number"": ""56984"", ""approximate_focus_distance"": ""67/100"", ""date_created"": ""2025-11-03T12:12:38.005"", ""color_mode"": ""3"", ""version"": ""18.0"", ""process_version"": ""15.4"", ""white_balance"": ""0"", ""temperature"": ""3050"", ""tint"": ""+11"", ""exposure2012"": ""+0.50"", ""contrast2012"": ""0"", ""highlights2012"": ""0"", ""shadows2012"": ""0"", ""whites2012"": ""0"", ""blacks2012"": ""+42"", ""texture"": ""0"", ""clarity2012"": ""0"", ""dehaze"": ""0"", ""vibrance"": ""0"", ""saturation"": ""0"", ""parametric_shadows"": ""0"", ""parametric_darks"": ""0"", ""parametric_lights"": ""0"", ""parametric_highlights"": ""0"", ""parametric_shadow_split"": ""25"", ""parametric_midtone_split"": ""50"", ""parametric_highlight_split"": ""75"", ""sharpness"": ""0"", ""sharpen_radius"": ""+1.0"", ""sharpen_detail"": ""25"", ""sharpen_edge_masking"": ""0"", ""luminance_smoothing"": ""0"", ""color_noise_reduction"": ""25"", ""color_noise_reduction_detail"": ""50"", ""color_noise_reduction_smoothness"": ""50"", ""hue_adjustment_red"": ""0"", ""hue_adjustment_orange"": ""0"", ""hue_adjustment_yellow"": ""0"", ""hue_adjustment_green"": ""0"", ""hue_adjustment_aqua"": ""0"", ""hue_adjustment_blue"": ""0"", ""hue_adjustment_purple"": ""0"", ""hue_adjustment_magenta"": ""0"", ""saturation_adjustment_red"": ""0"", ""saturation_adjustment_orange"": ""0"", ""saturation_adjustment_yellow"": ""0"", ""saturation_adjustment_green"": ""0"", ""saturation_adjustment_aqua"": ""0"", ""saturation_adjustment_blue"": ""0"", ""saturation_adjustment_purple"": ""0"", ""saturation_adjustment_magenta"": ""0"", ""luminance_adjustment_red"": ""0"", ""luminance_adjustment_orange"": ""0"", ""luminance_adjustment_yellow"": ""0"", ""luminance_adjustment_green"": ""0"", ""luminance_adjustment_aqua"": ""0"", ""luminance_adjustment_blue"": ""0"", ""luminance_adjustment_purple"": ""0"", ""luminance_adjustment_magenta"": ""0"", ""split_toning_shadow_hue"": ""0"", ""split_toning_shadow_saturation"": ""0"", ""split_toning_highlight_hue"": ""0"", ""split_toning_highlight_saturation"": ""0"", ""split_toning_balance"": ""0"", ""color_grade_midtone_hue"": ""0"", ""color_grade_midtone_sat"": ""0"", ""color_grade_shadow_lum"": ""0"", ""color_grade_midtone_lum"": ""0"", ""color_grade_highlight_lum"": ""0"", ""color_grade_blending"": ""50"", ""color_grade_global_hue"": ""0"", ""color_grade_global_sat"": ""0"", ""color_grade_global_lum"": ""0"", ""auto_lateral_ca"": ""0"", ""lens_profile_enable"": ""0"", ""lens_manual_distortion_amount"": ""0"", ""vignette_amount"": ""0"", ""defringe_purple_amount"": ""0"", ""defringe_purple_hue_lo"": ""30"", ""defringe_purple_hue_hi"": ""70"", ""defringe_green_amount"": ""0"", ""defringe_green_hue_lo"": ""40"", ""defringe_green_hue_hi"": ""60"", ""perspective_upright"": ""5"", ""perspective_vertical"": ""0"", ""perspective_horizontal"": ""0"", ""perspective_rotate"": ""0.0"", ""perspective_aspect"": ""0"", ""perspective_scale"": ""100"", ""perspective_x"": ""0.00"", ""perspective_y"": ""0.00"", ""grain_amount"": ""0"", ""post_crop_vignette_amount"": ""0"", ""shadow_tint"": ""0"", ""red_hue"": ""0"", ""red_saturation"": ""0"", ""green_hue"": ""0"", ""green_saturation"": ""0"", ""blue_hue"": ""0"", ""blue_saturation"": ""0"", ""hdr_edit_mode"": ""0"", ""override_look_vignette"": ""False"", ""tone_curve_name2012"": ""Linear"", ""tone_curve_pv2012"": [""0, 0"", ""255, 255""], ""tone_curve_pv2012_red"": [""0, 0"", ""255, 255""], ""tone_curve_pv2012_green"": [""0, 0"", ""255, 255""], ""tone_curve_pv2012_blue"": [""0, 0"", ""255, 255""], ""point_colors"": ""-1.000000, -1.000000, -1.000000, -1.000000, -1.000000, -1.000000, -1.000000, -1.000000, -1.000000, -1.000000, -1.000000, -1.000000, -1.000000, -1.000000, -1.000000, -1.000000, -1.000000, -1.000000, -1.000000"", ""color_variance"": ""-50.000000"", ""camera_profile"": ""Adobe Standard"", ""camera_profile_digest"": ""CA4F221DEBD3C272C94F7C3624CF9A18"", ""upright_version"": ""151388160"", ""upright_center_mode"": ""0"", ""upright_center_norm_x"": ""0.479923858"", ""upright_center_norm_y"": ""0.501493242"", ""upright_focal_mode"": ""0"", ""upright_focal_length35mm"": ""23.979791627"", ""upright_preview"": ""False"", ""upright_dependent_digest"": ""F7173540FD9FB419BD947A976070F4D2"", ""upright_guided_dependent_digest"": ""F7173540FD9FB419BD947A976070F4D2"", ""upright_transform_count"": ""6"", ""upright_transform_0"": ""1.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,1.000000000"", ""upright_transform_1"": ""1.020351131,0.013112385,-0.013097205,-0.016740305,1.039615574,-0.000025998,-0.018234675,0.019745728,1.018234675"", ""upright_transform_2"": ""1.020525477,0.006216412,-0.012126265,-0.019460897,1.039345268,0.000230024,-0.030415298,0.008501261,1.030415297"", ""upright_transform_3"": ""1.007701445,0.003468128,-0.005584787,-0.007786352,1.007701445,0.000042454,0.000000000,0.000000000,1.000000000"", ""upright_transform_4"": ""1.016113922,0.002154832,-0.009241583,-0.019298566,1.030760401,0.000174116,-0.030251361,0.000000042,1.030251361"", ""upright_transform_5"": ""1.006237307,0.014189082,-0.015020615,-0.023511793,1.029240054,0.000344926,-0.020738082,0.025015290,1.000000000"", ""upright_four_segments_count"": ""4"", ""upright_four_segments_0"": ""0.120429275,0.081211830,0.111082721,0.900593265"", ""upright_four_segments_1"": ""0.883004791,0.104381410,0.889336091,0.910507966"", ""upright_four_segments_2"": ""0.879917820,0.099399228,0.118750331,0.083255727"", ""upright_four_segments_3"": ""0.889066910,0.909591178,0.110741525,0.906029897"", ""look"": {""name"": ""Adobe Color"", ""amount"": ""1"", ""group"": ""Profiles"", ""uuid"": ""B952C231111CD8E0ECCF14B86BAA7077"", ""supports_amount"": ""false"", ""supports_monochrome"": ""false"", ""supports_output_referred"": ""false"", ""copyright"": ""\u00a9 2018 Adobe Systems, Inc."", ""parameters"": {""version"": ""18.0"", ""process_version"": ""15.4"", ""convert_to_grayscale"": ""False"", ""tone_curve_pv2012"": [""0, 0"", ""22, 16"", ""40, 35"", ""127, 127"", ""224, 230"", ""240, 246"", ""255, 255""], ""tone_curve_pv2012_red"": [""0, 0"", ""255, 255""], ""tone_curve_pv2012_green"": [""0, 0"", ""255, 255""], ""tone_curve_pv2012_blue"": [""0, 0"", ""255, 255""], ""camera_profile"": ""Adobe Standard"", ""look_table"": ""E1095149FDB39D7A057BAB208837E2E1""}}, ""has_settings"": ""True"", ""crop_top"": ""0.066696"", ""crop_left"": ""0.100422"", ""crop_bottom"": ""0.923786"", ""crop_right"": ""0.899898"", ""crop_angle"": ""0"", ""crop_constrain_to_warp"": ""0"", ""crop_constrain_to_unit_square"": ""1"", ""has_crop"": ""True"", ""already_applied"": ""True"", ""x_resolution"": ""300/1"", ""y_resolution"": ""300/1"", ""resolution_unit"": ""2"", ""make"": ""NIKON CORPORATION"", ""model"": ""NIKON D800E"", ""exif_version"": ""0231"", ""pixel_x_dimension"": ""4210"", ""pixel_y_dimension"": ""5884"", ""date_time_original"": ""2025-11-03T12:12:38"", ""exposure_time"": ""6/10"", ""f_number"": ""28/10"", ""exposure_program"": ""2"", ""iso_speed_ratings"": ""100"", ""shutter_speed_value"": ""736966/1000000"", ""aperture_value"": ""2970854/1000000"", ""exposure_bias_value"": ""0/6"", ""max_aperture_value"": ""30/10"", ""metering_mode"": ""2"", ""light_source"": ""0"", ""flash"": {""fired"": ""False"", ""return"": ""0"", ""mode"": ""2"", ""function"": ""False"", ""red_eye_mode"": ""False""}, ""focal_length"": ""240/10"", ""focal_plane_x_resolution"": ""67122044/32768"", ""focal_plane_y_resolution"": ""67122044/32768"", ""focal_plane_resolution_unit"": ""3"", ""sensing_method"": ""2"", ""file_source"": ""3"", ""scene_type"": ""1"", ""custom_rendered"": ""0"", ""exposure_mode"": ""0"", ""digital_zoom_ratio"": ""1/1"", ""focal_length_in35mm_film"": ""24"", ""scene_capture_type"": ""0"", ""gain_control"": ""0"", ""contrast"": ""0"", ""subject_distance_range"": ""0"", ""sub_sec_time_original"": ""50"", ""sub_sec_time_digitized"": ""50"", ""sensitivity_type"": ""2""}","[{""action"": ""saved"", ""instance_id"": null, ""when"": ""2025-11-04T12:47:45+01:00"", ""software"": ""Adobe Photoshop Camera Raw 17.4 (Windows)"", ""parameters"": null}, {""action"": ""saved"", ""instance_id"": null, ""when"": ""2025-11-04T16:22:53+01:00"", ""software"": ""Adobe Photoshop Camera Raw 17.4 (Windows)"", ""parameters"": null}, {""action"": ""derived"", ""instance_id"": null, ""when"": null, ""software"": null, ""parameters"": ""converted from image/x-nikon-nef to image/tiff""}, {""action"": ""saved"", ""instance_id"": null, ""when"": ""2025-11-06T09:33:52+01:00"", ""software"": ""Adobe Photoshop Camera Raw 17.5.1 (Windows)"", ""parameters"": null}, {""action"": ""saved"", ""instance_id"": null, ""when"": ""2025-11-06T09:57:28+01:00"", ""software"": ""Adobe Photoshop Camera Raw 17.5.1 (Windows)"", ""parameters"": null}, {""action"": ""saved"", ""instance_id"": null, ""when"": ""2025-11-25T14:30:12+01:00"", ""software"": ""Adobe Photoshop Camera Raw 18.0 (Windows)"", ""parameters"": null}]"
2,2_BNS4482,Studio per Carnaval d'Aoste,Progetto,file:manifesti/2_BNS4482.jpg,"metadata/0      1_BNS3560
1      2_BNS4482
2      3_BNS4472
3      4_BNS3567
4      5_BNS4478
5      6_BNS3571
6      7_BNS4476
7      8_BNS3575
8      9_BNS3577
9     10_BNS3579
10    11_BNS3581
11    12_BNS3583
12    13_BNS3589
13    14_BNS3587
14    15_BNS4482
15    16_BNS3591
16    17_BNS3593
17    18_BNS3595
18    19_BNS3597
Name: id, dtype: object_imp.xmp; metadata/0      1_BNS3560
1      2_BNS4482
2      3_BNS4472
3      4_BNS3567
4      5_BNS4478
5      6_BNS3571
6      7_BNS4476
7      8_BNS3575
8      9_BNS3577
9     10_BNS3579
10    11_BNS3581
11    12_BNS3583
12    13_BNS3589
13    14_BNS3587
14    15_BNS4482
15    16_BNS3591
16    17_BNS3593
17    18_BNS3595
18    19_BNS3597
Name: id, dtype: object_proc.xmp",1_BNS3560,99.0,50.5,cm,1984,progetto,,,,,1336.0,"Assessorato al Turismo, Regione Valle d'Aosta. Litografia ITLA - Aosta",Stampa serigrafica,Studi pennarello biro collages,"Ravasio, Melania","Ravasio, Melania",xmp.did:4d3317a3-c5fd-434a-a85a-c4e2c7eab5a0,36B7E8149CBCDBC1B6EAF12AE49E6177,xmp.iid:4d3317a3-c5fd-434a-a85a-c4e2c7eab5a0,2025-12-03T12:22:33,2025-12-03T15:26:49+01:00,2025-12-03T15:26:49+01:00,Ver.1.02,NIKON CORPORATION,NIKON D800E,300/1,300/1,2,3609,6988,image/tiff,5/1,28/10,100,200/10,https://creativecommons.org/licenses/by-nc-sa/4.0/,"{""serial_number"": ""6019424"", ""lens_info"": ""140/10"", ""lens"": ""14.0-24.0 mm f/2.8"", ""lens_id"": ""146"", ""image_number"": ""58865"", ""approximate_focus_distance"": ""79/100"", ""date_created"": ""2025-12-03T12:22:33.002"", ""color_mode"": ""3"", ""version"": ""18.0"", ""process_version"": ""15.4"", ""white_balance"": ""0"", ""temperature"": ""3000"", ""tint"": ""+8"", ""exposure2012"": ""-0.70"", ""contrast2012"": ""0"", ""highlights2012"": ""0"", ""shadows2012"": ""0"", ""whites2012"": ""0"", ""blacks2012"": ""0"", ""texture"": ""0"", ""clarity2012"": ""0"", ""dehaze"": ""0"", ""vibrance"": ""0"", ""saturation"": ""0"", ""parametric_shadows"": ""0"", ""parametric_darks"": ""0"", ""parametric_lights"": ""0"", ""parametric_highlights"": ""0"", ""parametric_shadow_split"": ""25"", ""parametric_midtone_split"": ""50"", ""parametric_highlight_split"": ""75"", ""sharpness"": ""0"", ""sharpen_radius"": ""+1.0"", ""sharpen_detail"": ""25"", ""sharpen_edge_masking"": ""0"", ""luminance_smoothing"": ""0"", ""color_noise_reduction"": ""25"", ""color_noise_reduction_detail"": ""50"", ""color_noise_reduction_smoothness"": ""50"", ""hue_adjustment_red"": ""0"", ""hue_adjustment_orange"": ""0"", ""hue_adjustment_yellow"": ""0"", ""hue_adjustment_green"": ""0"", ""hue_adjustment_aqua"": ""0"", ""hue_adjustment_blue"": ""0"", ""hue_adjustment_purple"": ""0"", ""hue_adjustment_magenta"": ""0"", ""saturation_adjustment_red"": ""0"", ""saturation_adjustment_orange"": ""0"", ""saturation_adjustment_yellow"": ""0"", ""saturation_adjustment_green"": ""0"", ""saturation_adjustment_aqua"": ""0"", ""saturation_adjustment_blue"": ""0"", ""saturation_adjustment_purple"": ""0"", ""saturation_adjustment_magenta"": ""0"", ""luminance_adjustment_red"": ""0"", ""luminance_adjustment_orange"": ""0"", ""luminance_adjustment_yellow"": ""0"", ""luminance_adjustment_green"": ""0"", ""luminance_adjustment_aqua"": ""0"", ""luminance_adjustment_blue"": ""0"", ""luminance_adjustment_purple"": ""0"", ""luminance_adjustment_magenta"": ""0"", ""split_toning_shadow_hue"": ""0"", ""split_toning_shadow_saturation"": ""0"", ""split_toning_highlight_hue"": ""0"", ""split_toning_highlight_saturation"": ""0"", ""split_toning_balance"": ""0"", ""color_grade_midtone_hue"": ""0"", ""color_grade_midtone_sat"": ""0"", ""color_grade_shadow_lum"": ""0"", ""color_grade_midtone_lum"": ""0"", ""color_grade_highlight_lum"": ""0"", ""color_grade_blending"": ""50"", ""color_grade_global_hue"": ""0"", ""color_grade_global_sat"": ""0"", ""color_grade_global_lum"": ""0"", ""auto_lateral_ca"": ""0"", ""lens_profile_enable"": ""0"", ""lens_manual_distortion_amount"": ""0"", ""vignette_amount"": ""0"", ""defringe_purple_amount"": ""0"", ""defringe_purple_hue_lo"": ""30"", ""defringe_purple_hue_hi"": ""70"", ""defringe_green_amount"": ""0"", ""defringe_green_hue_lo"": ""40"", ""defringe_green_hue_hi"": ""60"", ""perspective_upright"": ""5"", ""perspective_vertical"": ""0"", ""perspective_horizontal"": ""0"", ""perspective_rotate"": ""0.0"", ""perspective_aspect"": ""0"", ""perspective_scale"": ""100"", ""perspective_x"": ""0.00"", ""perspective_y"": ""0.00"", ""grain_amount"": ""0"", ""post_crop_vignette_amount"": ""0"", ""shadow_tint"": ""0"", ""red_hue"": ""0"", ""red_saturation"": ""0"", ""green_hue"": ""0"", ""green_saturation"": ""0"", ""blue_hue"": ""0"", ""blue_saturation"": ""0"", ""hdr_edit_mode"": ""0"", ""override_look_vignette"": ""False"", ""tone_curve_name2012"": ""Linear"", ""tone_curve_pv2012"": [""0, 0"", ""255, 255""], ""tone_curve_pv2012_red"": [""0, 0"", ""255, 255""], ""tone_curve_pv2012_green"": [""0, 0"", ""255, 255""], ""tone_curve_pv2012_blue"": [""0, 0"", ""255, 255""], ""point_colors"": ""-1.000000, -1.000000, -1.000000, -1.000000, -1.000000, -1.000000, -1.000000, -1.000000, -1.000000, -1.000000, -1.000000, -1.000000, -1.000000, -1.000000, -1.000000, -1.000000, -1.000000, -1.000000, -1.000000"", ""color_variance"": ""-50.000000"", ""camera_profile"": ""Adobe Standard"", ""camera_profile_digest"": ""CA4F221DEBD3C272C94F7C3624CF9A18"", ""upright_version"": ""151388160"", ""upright_center_mode"": ""0"", ""upright_center_norm_x"": ""0.495233824"", ""upright_center_norm_y"": ""0.508005602"", ""upright_focal_mode"": ""0"", ""upright_focal_length35mm"": ""19.983159689"", ""upright_preview"": ""False"", ""upright_dependent_digest"": ""F7173540FD9FB419BD947A976070F4D2"", ""upright_guided_dependent_digest"": ""F7173540FD9FB419BD947A976070F4D2"", ""upright_transform_count"": ""6"", ""upright_transform_0"": ""1.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,1.000000000"", ""upright_transform_1"": ""1.007690514,0.005081062,-0.005627351,-0.006784289,1.013368147,0.000033090,-0.004400937,0.006204593,1.004400937"", ""upright_transform_2"": ""1.021821652,0.006668780,-0.014125068,-0.026185557,1.040849404,0.000358559,-0.034306865,0.005385285,1.034306864"", ""upright_transform_3"": ""1.004548581,0.002038059,-0.003293320,-0.004575680,1.004548581,0.000013549,0.000000000,0.000000000,1.000000000"", ""upright_transform_4"": ""1.019089789,0.004117791,-0.011736440,-0.026047023,1.035422389,0.000296094,-0.034166819,0.000000095,1.034166819"", ""upright_transform_5"": ""1.018553963,0.015682382,-0.015606147,-0.005410057,1.035742623,-0.004695406,-0.007746753,0.025906415,1.000000000"", ""upright_four_segments_count"": ""4"", ""upright_four_segments_0"": ""0.961745186,0.187345868,0.968068288,0.875185022"", ""upright_four_segments_1"": ""0.044956133,0.177871499,0.034777080,0.877079895"", ""upright_four_segments_2"": ""0.961539309,0.183800409,0.045323552,0.180238630"", ""upright_four_segments_3"": ""0.967940730,0.876144667,0.035348401,0.877469449"", ""look"": {""name"": ""Adobe Color"", ""amount"": ""1"", ""group"": ""Profiles"", ""uuid"": ""B952C231111CD8E0ECCF14B86BAA7077"", ""supports_amount"": ""false"", ""supports_monochrome"": ""false"", ""supports_output_referred"": ""false"", ""copyright"": ""\u00a9 2018 Adobe Systems, Inc."", ""parameters"": {""version"": ""18.0"", ""process_version"": ""15.4"", ""convert_to_grayscale"": ""False"", ""tone_curve_pv2012"": [""0, 0"", ""22, 16"", ""40, 35"", ""127, 127"", ""224, 230"", ""240, 246"", ""255, 255""], ""tone_curve_pv2012_red"": [""0, 0"", ""255, 255""], ""tone_curve_pv2012_green"": [""0, 0"", ""255, 255""], ""tone_curve_pv2012_blue"": [""0, 0"", ""255, 255""], ""camera_profile"": ""Adobe Standard"", ""look_table"": ""E1095149FDB39D7A057BAB208837E2E1""}}, ""has_settings"": ""True"", ""crop_top"": ""0.163458"", ""crop_left"": ""0.028454"", ""crop_bottom"": ""0.898135"", ""crop_right"": ""0.97787"", ""crop_angle"": ""0"", ""crop_constrain_to_warp"": ""0"", ""crop_constrain_to_unit_square"": ""1"", ""has_crop"": ""True"", ""already_applied"": ""True"", ""x_resolution"": ""300/1"", ""y_resolution"": ""300/1"", ""resolution_unit"": ""2"", ""make"": ""NIKON CORPORATION"", ""model"": ""NIKON D800E"", ""exif_version"": ""0231"", ""pixel_x_dimension"": ""3609"", ""pixel_y_dimension"": ""6988"", ""date_time_original"": ""2025-12-03T12:22:33"", ""exposure_time"": ""5/1"", ""f_number"": ""28/10"", ""exposure_program"": ""2"", ""iso_speed_ratings"": ""100"", ""shutter_speed_value"": ""-2321928/1000000"", ""aperture_value"": ""2970854/1000000"", ""exposure_bias_value"": ""0/6"", ""max_aperture_value"": ""30/10"", ""metering_mode"": ""2"", ""light_source"": ""0"", ""flash"": {""fired"": ""False"", ""return"": ""0"", ""mode"": ""2"", ""function"": ""False"", ""red_eye_mode"": ""False""}, ""focal_length"": ""200/10"", ""focal_plane_x_resolution"": ""67122044/32768"", ""focal_plane_y_resolution"": ""67122044/32768"", ""focal_plane_resolution_unit"": ""3"", ""sensing_method"": ""2"", ""file_source"": ""3"", ""scene_type"": ""1"", ""custom_rendered"": ""1"", ""exposure_mode"": ""0"", ""digital_zoom_ratio"": ""1/1"", ""focal_length_in35mm_film"": ""20"", ""scene_capture_type"": ""0"", ""gain_control"": ""0"", ""contrast"": ""0"", ""subject_distance_range"": ""0"", ""sub_sec_time"": ""20"", ""sub_sec_time_original"": ""20"", ""sub_sec_time_digitized"": ""20"", ""sensitivity_type"": ""2""}","[{""action"": ""derived"", ""instance_id"": null, ""when"": null, ""software"": null, ""parameters"": ""converted from image/x-nikon-nef to image/tiff""}, {""action"": ""saved"", ""instance_id"": null, ""when"": ""2025-12-03T15:35:57+01:00"", ""software"": ""Adobe Photoshop Camera Raw 18.0 (Windows)"", ""parameters"": null}, {""action"": ""saved"", ""instance_id"": null, ""when"": ""2025-12-03T15:26:45+01:00"", ""software"": ""Adobe Photoshop Camera Raw 18.0 (Windows)"", ""parameters"": null}, {""action"": ""saved"", ""instance_id"": null, ""when"": ""2025-12-03T15:26:49+01:00"", ""software"": ""Adobe Photoshop Camera Raw 18.0 (Windows)"", ""parameters"": null}]"
